task,owner,deadline,note
I’ll complete the slides by Friday.,,Friday,
I’ll reach out to them by Monday.,,Monday,
I’ll aim to complete it by next Wednesday.,,next Wednesday,
I’ll prepare a content calendar by next Friday.,,next Friday,
"If you can get vendor confirmations by Monday, that will help us finalize the promotional material.",,Monday,
I’ll provide them by Thursday.,,Thursday,
I can prepare a short summary of key insights by Tuesday.,,Tuesday,
That will be very useful.,,,
Marketing materials should be ready by then too.,,,
"Before we close, let’s set our follow-up meeting on 10th September at 11 AM.",,10th September,
"By then, John will have slides ready, Sarah will have vendor confirmations, Michael will finalize the budget, and David will present the content calendar.",John,,
